ServiceDate,Route,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
1/1/2018,612,612-WESTLAKES,44.23,90,0,0,45,27,0.84,8
1/1/2018,613,613-HERITAGE NW,88.65,175,0,0,96,53,4.46,17
1/1/2018,614,614-HIDDEN COVE,37.49,66,0,0,40,18,1.42,10
1/1/2018,615,615-HERITAGE PARK                   ,75.68,163,0,0,83,42,2.81,18
1/1/2018,616,616-SKY HARBOUR,89.01,185,0,0,117,48,4.98,22
1/1/2018,617,617-RAINBOW HILLS,49.57,104,0,0,68,31,3.54,13
1/1/2018,618,618-INGRAM/WESTLAKES                ,14.25,87,0,0,28,11,0.25,2
1/1/2018,619,619-INDIAN CREEK,40.9,95,0,0,59,22,3.18,8
1/1/2018,620,620- Ingram/NW Vista,33.8,69,0,0,36,21,1.78,9
1/1/2018,629,629 - INDUSTRY PARK,51.35,90,0,0,49,17,0.28,3
1/1/2018,630,630-SUNRISE/RANDOLPH PR             ,87.57,133,0,0,79,44,2.54,15
1/1/2018,632,632-RANDOLPH/VENTURA                ,96.54,241,0,0,150,58,5.78,32
1/1/2018,642,642 Nacogdoches / Rolling Oaks Mall,33.71,124,0,0,89,16,1.15,9
1/1/2018,647,647  NORTH STAR / HARRY WURZBACH,25.73,56,0,0,35,20,1.63,8
1/1/2018,648,648  NORTH STAR / STONE OAK PKWY.,48.34,120,0,0,72,28,0.44,6
1/1/2018,651,651  DECO DISTRICT / CASTLE HILLS,35.42,97,0,0,46,22,2.4,11
1/1/2018,705,705-MCCRELESS MALL,0,48,48,0,0,0,0,0
1/1/2018,715,715-CROSSROADS PARK & RIDE,18,351,250,0,77,6,0.5,1
1/1/2018,719,719-KEL-LAC PARK & RIDE,2.5,36,30,0,0,2,0,0
1/2/2018,2,2-BLANCO RD.,815.08,1863,0,0,1047,448,40.22,221
1/2/2018,3,3-SAN PEDRO SKIP,309.48,1196,0,0,834,178,11.25,61
1/2/2018,4,4-SAN PEDRO,461.88,1673,0,0,1024,264,40,133
1/2/2018,5,5-MC CULLOUGH,263.18,777,0,0,478,146,13.83,78
1/2/2018,6,6-US 281 Express,19.97,166,0,0,90,14,1,3
1/2/2018,8,8-N.ST.MARYS,305.34,746,0,0,464,181,13.5,72
1/2/2018,9,9-BROADWAY,301.32,776,1,0,489,177,18.19,89
1/2/2018,10,10-NACO/BROADWAY /NACO PASS        ,299.05,910,0,0,577,153,14.28,72
1/2/2018,11,11 VIVA Culture,86.47,148,1,0,77,43,5.69,18
1/2/2018,14,14 Perrin Beitel ,581.36,1577,0,0,901,325,25.33,126
1/2/2018,17,17-IH 35 Express,133.03,562,0,0,356,98,12.36,25
1/2/2018,20,20-NEW BRAUNFELS,706.63,2119,0,0,1340,391,31.82,187
1/2/2018,21,21 KIRBY / CONVERSE,418.22,1047,0,0,531,242,19.77,91
1/2/2018,22,22-HAYS                             ,134.09,311,0,0,192,79,3.08,27
1/2/2018,24,24-E.HOUSTON,406.91,1067,1,0,647,212,15.96,93
1/2/2018,25,25-EAST COMMERCE,543.97,1041,0,0,538,235,128.99,218
1/2/2018,26,26-M.L. KING,257.06,787,2,0,417,144,17.77,72
1/2/2018,28,28-PORTER,420.12,1003,0,0,565,260,22.81,93
1/2/2018,30,30-RIGSBY,334.89,813,1,0,419,185,18.2,88
1/2/2018,32,32-STEVES AVE.                      ,273.02,728,0,0,373,163,20.17,79
1/2/2018,34,34-S. ST.MARYS                      ,541.95,1406,1,0,807,288,23.85,133
1/2/2018,36,36-S. PRESA ST.,234.87,431,0,0,231,119,22.22,54
1/2/2018,40,40-VIVA Mission,26.95,72,0,0,37,11,0.93,6
1/2/2018,42,42-ROOSEVELT,289.66,733,0,0,365,162,14.38,84
1/2/2018,43,43-S. FLORES,378.89,788,0,0,427,212,17.12,100
1/2/2018,44,44-PLEASANTON RD.,327.8,865,1,0,515,181,18.91,89
1/2/2018,46,46-COMMERCIAL,122.92,271,0,0,159,69,6.45,31
1/2/2018,48,48 IH-35 S EXPRESS,6.95,17,0,0,4,6,0.25,1
1/2/2018,51,51-NOGALITOS                        ,374.32,888,0,0,532,205,16.35,107
1/2/2018,54,54-SOUTH ALAMO                      ,28.47,83,0,0,41,17,0.17,3
1/2/2018,62,62-KIRK                             ,146.66,358,0,0,199,81,9.47,35
1/2/2018,64,64-KLAC/SEA WORLD/N.W. VISTA  EXPRESS  ,126.66,460,0,0,301,74,6.07,16
1/2/2018,66,66-CERALVO,225.99,656,0,0,419,126,7.52,54
1/2/2018,67,67-LAREDO,107.37,290,0,0,171,52,8.51,35
1/2/2018,68,68-GUADALUPE,512.91,1443,0,0,817,303,32.31,132
1/2/2018,70,70   CESAR CHAVEZ,60.75,215,0,0,147,36,10.36,15
1/2/2018,75,75-WEST COMMERCE,552.92,1641,0,0,998,252,111.61,266
1/2/2018,76,76-OLD HWY. 90 W.,479.67,1404,1,0,905,284,19.09,121
1/2/2018,77,77-MARTIN ST.,145.41,443,0,0,226,65,5.74,29
1/2/2018,79,79-RUIZ                             ,181.03,601,0,0,314,106,9.75,52
1/2/2018,82,82-CULEBRA,531.59,1283,0,0,780,287,17.56,125
1/2/2018,88,88-BANDERA                          ,377.56,1053,1,0,547,208,27.41,124
1/2/2018,89,89-W.POPLAR                         ,227.42,471,0,0,259,113,6.35,45
1/2/2018,90,90-WOODLAWN                         ,280.96,692,0,0,407,148,8.15,64
1/2/2018,93,93-IH 10 Crossroads/UTSA Express,52.9,247,0,0,122,34,2.05,8
1/2/2018,94,94-IH 10/ FIESTA TEXAS/EXPRESS          ,64.3,290,0,0,134,34,2.75,7
1/2/2018,95,95-Fredericksburg Rd.,171.04,692,0,0,439,98,8.04,54
1/2/2018,96,96 - Vance Jackson,394.44,1391,0,0,680,224,14,94
1/2/2018,97,97-WEST AVENUE,388.89,1139,0,0,702,229,16.61,99
1/2/2018,100,100 - PRIMO FREDRICKSBURG RD.,755.35,2913,0,0,1917,453,37.8,186
1/2/2018,101,101 - PRIMO LEON VALLEY/UTSA,150.22,533,0,0,244,71,6.69,31
1/2/2018,301,301  VIVA CENTRO,72.08,134,0,0,78,27,1.99,10
1/2/2018,502,502-THOUSAND OAKS               ,294.85,763,0,0,455,162,10.97,79
1/2/2018,505,505-BASSE RD.,162.54,389,0,0,250,95,5.88,40
1/2/2018,509,509-HILDEBRAND                  ,161.25,361,0,0,194,85,8.25,42
1/2/2018,515,515-SOUTHCROSS                  ,276.77,524,0,0,294,156,15.16,70
1/2/2018,520,520-ZARZAMORA                   ,1318.33,4054,0,0,2309,724,54.84,365
1/2/2018,522,522-BABCOCK               ,201.18,609,0,0,376,112,11.44,55
1/2/2018,524,524-GENERAL MCMULLEN                    ,524.78,1240,0,0,741,280,18.33,119
1/2/2018,534,534-WURZBACH                    ,480.66,1331,0,0,807,266,23,122
1/2/2018,550,550-LOOPER LIMITED STOP,910.22,2471,0,0,1516,490,50.06,219
1/2/2018,551,551-LOOPER LIMITED STOP,777.31,2408,0,0,1286,455,39.54,187
1/2/2018,602,602  NORTH STAR / MEDICAL CENTER,209.82,599,1,0,292,118,12.32,62
1/2/2018,603,603  MED.CTR./UTSA,113.98,466,0,0,193,64,5.1,28
1/2/2018,604,604  MED.CTR./UNIV. HGTS.,108,265,0,0,120,66,7.21,35
1/2/2018,605,605  UTSA/MAINLAND,52.54,141,0,0,37,24,6.32,14
1/2/2018,606,606  MED. CTR./ALAMO RANCH,133.83,317,0,0,168,77,6.97,35
1/2/2018,607,607-INGRAM/MED.CTR.                   ,71.78,176,0,0,84,45,2.01,19
1/2/2018,609,609-INGRAM/MAINLAND                 ,13.63,143,0,0,33,7,0.16,3
1/2/2018,610,610-INGRAM/NWCROS                   ,117.94,186,0,0,93,59,8.14,27
1/2/2018,611,611-VALLEY HI,114.92,197,0,0,94,67,6.44,25
1/2/2018,612,612-WESTLAKES,110.31,222,0,0,113,54,2.77,28
1/2/2018,613,613-HERITAGE NW,101.1,333,0,0,117,58,2.48,15
1/2/2018,614,614-HIDDEN COVE,113.8,174,0,0,98,63,3.13,25
1/2/2018,615,615-HERITAGE PARK                   ,151.1,339,0,0,202,85,9.72,40
1/2/2018,616,616-SKY HARBOUR,157.56,307,0,0,159,82,6.08,38
1/2/2018,617,617-RAINBOW HILLS,147.44,330,0,0,192,75,6.93,32
1/2/2018,618,618-INGRAM/WESTLAKES                ,73.84,266,0,0,65,45,2.84,14
1/2/2018,619,619-INDIAN CREEK,65.16,252,0,0,89,34,1.77,10
1/2/2018,620,620- Ingram/NW Vista,78.5,172,0,0,73,48,1.85,13
1/2/2018,629,629 - INDUSTRY PARK,56.14,143,0,0,82,25,3.44,20
1/2/2018,630,630-SUNRISE/RANDOLPH PR             ,98.36,171,0,0,91,63,2.29,16
1/2/2018,631,631 - SUNRISE/SUMMERFEST,73.45,163,0,0,97,45,5.28,19
1/2/2018,632,632-RANDOLPH/VENTURA                ,336.52,823,1,0,500,200,21.77,92
1/2/2018,640,640-VALLEY FORGE                    ,44.4,81,0,0,39,24,1.31,12
1/2/2018,641,641-KNOLLCREEK                      ,38.37,162,0,0,59,22,0.51,6
1/2/2018,642,642 Nacogdoches / Rolling Oaks Mall,33.97,155,0,0,38,22,2.03,6
